event,x_pos,y_pos,z_pos,trk_index,trk_nr,event_trk_nr
18,47.61465204136511,70.6048618095214,-8.5,1,0.0,18.0_0.0
18,66.67521589070961,133.50444803778984,-17.0,1,0.0,18.0_0.0
19,38.80517995258568,39.18279354567378,0.0,1,0.0,19.0_0.0
19,83.44484079631818,1.3757485012617752,-17.0,1,0.0,19.0_0.0
20,75.7076507955982,94.29422266173258,0.0,1,0.0,20.0_0.0
20,46.16991790301935,99.18315978677128,-8.5,1,0.0,20.0_0.0
21,128.52570362291257,113.70263144696676,0.0,1,0.0,21.0_0.0
21,128.01549961070907,90.4986597008925,-8.5,1,0.0,21.0_0.0
22,2.967953946253477,119.5551996466811,0.0,1,0.0,22.0_0.0
22,50.03787569978103,72.22846569006236,-8.5,1,0.0,22.0_0.0
22,97.1108358586709,24.895782932060648,-17.0,1,0.0,22.0_0.0
23,109.60362061896484,27.711647704808257,0.0,1,0.0,23.0_0.0
23,103.18292637719428,78.7935355914606,-8.5,1,0.0,23.0_0.0
23,96.76041701832652,129.88069440070242,-17.0,1,0.0,23.0_0.0
24,24.987848129969365,45.038174087593234,0.0,1,0.0,24.0_0.0
24,62.56963211041559,56.97037123970862,-8.5,1,0.0,24.0_0.0
25,33.79835144944067,140.92880696223358,0.0,1,0.0,25.0_0.0
25,39.79352812659433,130.89312041744853,-8.5,1,0.0,25.0_0.0
25,45.80850629313203,120.85668050055166,-17.0,1,0.0,25.0_0.0
26,125.655624576952,146.30938038775224,0.0,1,0.0,26.0_0.0
26,75.21242105120295,147.78338377526106,-8.5,1,0.0,26.0_0.0
27,12.688773407240456,109.43616559828185,0.0,1,0.0,27.0_0.0
27,7.494087508770487,87.40927714327114,-8.5,1,0.0,27.0_0.0
28,86.31884166683163,50.43421378781857,0.0,1,0.0,28.0_0.0
28,73.64425533959648,52.534515268278895,-8.5,1,0.0,28.0_0.0
28,60.97035651586015,54.62566535996271,-17.0,1,0.0,28.0_0.0
29,3.386723372728965,74.53197354122743,0.0,1,0.0,29.0_0.0
29,68.9213776057807,95.63241522814909,-8.5,1,0.0,29.0_0.0
29,134.45096307028646,116.71836731139646,-17.0,1,0.0,29.0_0.0
30,147.22509318450705,16.98969368139332,0.0,1,0.0,30.0_0.0
30,127.1850211948407,23.32977361723134,-8.5,1,0.0,30.0_0.0
30,107.12639692166498,29.65045885593444,-17.0,1,0.0,30.0_0.0
31,142.11002454512715,144.1257384052216,0.0,1,0.0,31.0_0.0
31,79.54847310929127,74.9124439457021,-8.5,1,0.0,31.0_0.0
31,16.98594220930531,5.696325576797475,-17.0,1,0.0,31.0_0.0
32,7.368860103935284,48.182747110728535,0.0,1,0.0,32.0_0.0
32,114.06588376343989,91.62071956900034,-17.0,1,0.0,32.0_0.0
33,12.475785118928192,121.38271451130235,0.0,1,0.0,33.0_0.0
33,45.97251621233746,87.03059189151669,-8.5,1,0.0,33.0_0.0
33,79.48090118235193,52.69829920665222,-17.0,1,0.0,33.0_0.0
34,70.45227516609366,57.7587377554144,-8.5,1,0.0,34.0_0.0
34,29.236693471983497,50.16411306789716,-17.0,1,0.0,34.0_0.0
35,59.56869078074698,90.45532684887516,0.0,1,0.0,35.0_0.0
35,69.4321549252599,76.3917573899777,-8.5,1,0.0,35.0_0.0
35,79.29144871335436,62.33945909847881,-17.0,1,0.0,35.0_0.0
36,65.97364986768217,16.066157854353833,0.0,1,0.0,36.0_0.0
36,73.21115151527549,8.565853515864625,-8.5,1,0.0,36.0_0.0
36,80.47554643613178,1.06297674355469,-17.0,1,0.0,36.0_0.0
37,5.032978009530329,73.44171663965142,0.0,1,0.0,37.0_0.0
37,30.332386490707737,78.08331160043713,-8.5,1,0.0,37.0_0.0
37,55.64861941277434,82.71386417875178,-17.0,1,0.0,37.0_0.0
38,80.77461375577059,78.17968067751549,0.0,1,0.0,38.0_0.0
38,43.98708446342864,46.98431734458919,-8.5,1,0.0,38.0_0.0
38,7.1822538946850445,15.7921753186537,-17.0,1,0.0,38.0_0.0
39,33.87153678559025,2.030942066399541,0.0,1,0.0,39.0_0.0
39,77.75139266954142,48.54054234371615,-8.5,1,0.0,39.0_0.0
39,121.65265406276524,95.03939015713868,-17.0,1,0.0,39.0_0.0
40,100.94925819045612,5.713602208365947,0.0,1,0.0,40.0_0.0
40,104.42803033318236,25.84644938156792,-8.5,1,0.0,40.0_0.0
40,107.91180496362884,46.0065826582701,-17.0,1,0.0,40.0_0.0
41,10.453736122221615,105.6131691842066,0.0,1,0.0,41.0_0.0
41,135.18185026555153,115.06664529810622,-17.0,1,0.0,41.0_0.0
42,109.73691745714171,146.16249651801263,0.0,1,0.0,42.0_0.0
42,124.6492705962818,82.92876795314655,-8.5,1,0.0,42.0_0.0
